Date,Shift,Station,Alert,Raised Time,Duration
2025/01/08,1st_Shift,#2PRE_FINAL_CV,FR RH Door Assist Device  Over Run,1/8/2025 7:36:17 AM,00:00:03
2025/01/08,1st_Shift,#2PRE_FINAL_CV,STG 09 LH QRQC stop,1/8/2025 7:36:20 AM,00:00:29
2025/01/08,1st_Shift,#2PRE_FINAL_CV,FR LH Door Assist Device  Over Run,1/8/2025 7:36:58 AM,00:00:12
2025/01/08,1st_Shift,#2PRE_FINAL_CV,OHC-05 EXIT EMPTY HANGAR FULL,1/8/2025 7:41:15 AM,00:00:15
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 7:42:05 AM,00:00:03
2025/01/08,1st_Shift,#2PRE_FINAL_CV,OHC-05 EXIT EMPTY HANGAR FULL,1/8/2025 7:43:22 AM,00:00:04
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PF PF11R FRT DOOR IPMS STOP,1/8/2025 7:43:46 AM,00:00:18
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 7:46:05 AM,00:01:00
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 7:48:55 AM,00:00:13
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 7:50:57 AM,00:00:22
2025/01/08,1st_Shift,#2PRE_FINAL_CV,Combi Filling Over Run,1/8/2025 7:52:09 AM,00:00:05
2025/01/08,1st_Shift,#2PRE_FINAL_CV,STG 01 LH QRQC Help Stop,1/8/2025 7:53:59 AM,00:00:06
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 7:55:06 AM,00:00:12
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 7:57:07 AM,00:01:06
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 8:00:01 AM,00:01:13
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 8:03:03 AM,00:00:08
2025/01/08,1st_Shift,#2PRE_FINAL_CV,FR RH Door Assist Device  Over Run,1/8/2025 8:05:37 AM,00:00:39
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 8:07:27 AM,00:00:41
2025/01/08,1st_Shift,#2PRE_FINAL_CV,STG 01 LH QRQC Help Stop,1/8/2025 8:08:48 AM,00:00:03
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PREFINAL ENTRY BODY EMPTY,1/8/2025 8:10:00 AM,00:00:04
2025/01/08,1st_Shift,#2PRE_FINAL_CV,STOP IPMS01_I601.3(IPMS Final slat STOP),1/8/2025 8:11:42 AM,00:00:04
2025/01/08,1st_Shift,#2PRE_FINAL_CV,PF IPMS17 STOP,1/8/2025 8:11:45 AM,00:01:17
